Source_Database	MEGARes_Header	Source_Headers(space_separated)
NCBI	Bla|OXA-69|AY750911|1-825|825|betalactams|Class_D_betalactamases|OXA	gi|939559781|gb|CP012952.1|2270022-2270846 gi|817554816|gb|GQ406245.5|59879-59055 gi|787858845|gb|CP008706.1|2286658-2287482 gi|751410783|gb|CP010781.1|1754129-1753305 gi|672941292|gb|GQ406246.3|22324-21500 gi|672940400|gb|HM590877.5|76020-75196 gi|213985689|gb|CP001172.1|2099789-2100613 gi|213054530|gb|CP001182.1|1845660-1844836 gi|169147133|emb|CU459141.1|2175317-2176141 gi|57491157|gb|AY859527.1|1-825
Resfinder	Bla|OXA-69|AY750911|1-825|825|betalactams|Class_D_betalactamases|OXA	blaOXA-69_1_HM564339
CARD	gi|256862195|gb|GQ390805.1|betalactams|Class_A_betalactamases|SHV	@phgb|GQ390805|0-813|ARO:3001170|SHV-123 [Klebsiella pneumoniae]
NCBI	gi|256862195|gb|GQ390805.1|betalactams|Class_A_betalactamases|SHV	gi|256862195|gb|GQ390805.1|1-813
CARD	gi|698174213|gb|KM087861.1|betalactams|Class_C_betalactamases|MIR	@phgb|KM087861|0-1146|ARO:3002181|MIR-16 [Enterobacter asburiae]
Lahey	gi|698174213|gb|KM087861.1|betalactams|Class_C_betalactamases|MIR	AIT76114.1 KM087861.1:1-1146
NCBI	gi|698174213|gb|KM087861.1|betalactams|Class_C_betalactamases|MIR	gi|698174213|gb|KM087861.1|1-1146
ARG-ANNOT	Bla|CTX-M-7|AJ005045|1-876|976|betalactams|Class_A_betalactamases|CTX	(Bla)CTX-M-7:AJ005045:1-876:976
NCBI	Bla|CTX-M-7|AJ005045|1-876|976|betalactams|Class_A_betalactamases|CTX	gi|695198364|ref|NG_034963.1|1-905
CARD	CARD|phgb|KP109678|5817-6675|ARO:3003714|PEDO-2|betalactams|Class_B_betalactamases|PEDO	@phgb|KP109678|5817-6675|ARO:3003714|PEDO-2 [Pedobacter sp. ALS-14]
NCBI	CARD|phgb|KP109678|5817-6675|ARO:3003714|PEDO-2|betalactams|Class_B_betalactamases|PEDO	gi|762020428|gb|KP109678.1|5818-6675
NCBI	Rif|NC_013450.8613267|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation	gi|499139719|gb|KC707775.1|1-3552 gi|262073980|gb|CP001781.1|540633-544184
ARG-ANNOT	Bla|cphA6|AY227052|1-765|765|betalactams|Class_B_betalactamases|CPHA	(Bla)cphA6:AY227052:1-765:765
CARD	Bla|cphA6|AY227052|1-765|765|betalactams|Class_B_betalactamases|CPHA	@phgb|AY227052|0-765|ARO:3003102|cphA6 [Aeromonas veronii bv. veronii]
NCBI	Bla|cphA6|AY227052|1-765|765|betalactams|Class_B_betalactamases|CPHA	gi|37359435|gb|AY227052.1|1-765
Resfinder	Bla|cphA6|AY227052|1-765|765|betalactams|Class_B_betalactamases|CPHA	cphA6_1_AY227052
CARD	CARD|pvgb|AE000516|783533-783908|ARO:3003395|Mycobacterium|Aminoglycosides|Aminoglycoside-resistant_30S_ribosomal_subunit_protein_S12|RPSL|RequiresSNPConfirmation	@pvgb|AE000516|783533-783908|ARO:3003395|Mycobacterium tuberculosis rpsL mutations conferring resistance to Streptomycin [Mycobacterium tuberculosis CDC1551]
NCBI	CARD|pvgb|AE000516|783533-783908|ARO:3003395|Mycobacterium|Aminoglycosides|Aminoglycoside-resistant_30S_ribosomal_subunit_protein_S12|RPSL|RequiresSNPConfirmation	gi|984994143|gb|CP010340.1|786651-787026 gi|984989958|gb|CP010339.1|785133-785508 gi|984985728|gb|CP010338.1|785362-785737 gi|984981517|gb|CP010337.1|784055-784430 gi|984967653|gb|CP010334.1|779658-780033 gi|984963331|gb|CP010333.1|784087-784462 gi|984959134|gb|CP010332.1|783307-783682 gi|984950177|gb|CP010330.1|781518-781893 gi|984945858|gb|CP010329.1|781492-781867 gi|893678627|gb|CP012095.1|783215-783590
ARG-ANNOT	Gly|VanX-Ac1|DQ246438|2221-2835|615|Glycopeptides|VanA-type_resistance_protein|VANXA	(Gly)VanX-Ac1:DQ246438:2221-2835:615
NCBI	Gly|VanX-Ac1|DQ246438|2221-2835|615|Glycopeptides|VanA-type_resistance_protein|VANXA	gi|82658572|gb|DQ246438.1|2221-2835
Resfinder	Gly|VanX-Ac1|DQ246438|2221-2835|615|Glycopeptides|VanA-type_resistance_protein|VANXA	VanX-Ac1_6_DQ246438
CARD	Elf|CP002695.1|gene3614|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	@pvgb|CP002695|3866610-3867801|ARO:3001312|elfamycin resistant EF-Tu [Bordetella pertussis CS]
NCBI	Elf|CP002695.1|gene3614|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation	gi|973420427|gb|CP010966.1|6722-7912 gi|973420427|gb|CP010966.1|3851918-3853108 gi|973416827|gb|CP010965.1|6722-7912 gi|973416827|gb|CP010965.1|3849812-3851002 gi|937412521|gb|CP011401.1|6722-7912 gi|937412521|gb|CP011401.1|3840982-3842172 gi|937409066|gb|CP011400.1|6722-7912 gi|937409066|gb|CP011400.1|3841424-3842614 gi|937404317|gb|CP011448.1|6722-7912 gi|937404317|gb|CP011448.1|3851834-3853024 gi|937400854|gb|CP011447.1|6722-7912 gi|937400854|gb|CP011447.1|3850875-3852065 gi|937393878|gb|CP011446.1|6722-7912 gi|937393878|gb|CP011446.1|3845629-3846819 gi|937390412|gb|CP011445.1|6722-7912 gi|937390412|gb|CP011445.1|3852316-3853506 gi|937386949|gb|CP011444.1|6722-7912 gi|937386949|gb|CP011444.1|3847713-3848903 gi|937383491|gb|CP011443.1|6722-7912 gi|937383491|gb|CP011443.1|3846680-3847870
ARG-ANNOT	Bla|CTX-M-34|AY51597|1-876|876|betalactams|Class_A_betalactamases|CTX	(Bla)CTX-M-34:AY515297:1-876:876
CARD	Bla|CTX-M-34|AY51597|1-876|876|betalactams|Class_A_betalactamases|CTX	@phgb|AY515297|0-876|ARO:3001896|CTX-M-34 [Escherichia coli]
Lahey	Bla|CTX-M-34|AY51597|1-876|876|betalactams|Class_A_betalactamases|CTX	AAR99493.1 AY515297.1:1-876
NCBI	Bla|CTX-M-34|AY51597|1-876|876|betalactams|Class_A_betalactamases|CTX	gi|41079306|gb|AY515297.1|1-876
Resfinder	Bla|CTX-M-34|AY51597|1-876|876|betalactams|Class_A_betalactamases|CTX	blaCTX-M-34_1_AY515297
ARG-ANNOT	Bla|CTX-M-19|AF325134|1-876|876|betalactams|Class_A_betalactamases|CTX	(Bla)CTX-M-19:AF325134:1-876:876
CARD	Bla|CTX-M-19|AF325134|1-876|876|betalactams|Class_A_betalactamases|CTX	@phgb|AF325134|0-876|ARO:3001881|CTX-M-19 [Klebsiella pneumoniae]
Lahey	Bla|CTX-M-19|AF325134|1-876|876|betalactams|Class_A_betalactamases|CTX	AAK55534.1 AF325134.1:1-876
NCBI	Bla|CTX-M-19|AF325134|1-876|876|betalactams|Class_A_betalactamases|CTX	gi|515794472|emb|HG000669.1|1550-2425 gi|27462652|gb|AF458080.1|6439-7314 gi|14189985|gb|AF325134.1|AF325134|1-876
Resfinder	Bla|CTX-M-19|AF325134|1-876|876|betalactams|Class_A_betalactamases|CTX	blaCTX-M-19_1_AF325134
ARG-ANNOT	Bla|TEM-198|AB700703|162-1022|861|betalactams|Class_A_betalactamases|TEM	(Bla)TEM-198:AB700703:162-1022:861
CARD	Bla|TEM-198|AB700703|162-1022|861|betalactams|Class_A_betalactamases|TEM	@phgb|AB700703|161-1022|ARO:3001057|TEM-198 [Klebsiella pneumoniae]
Lahey	Bla|TEM-198|AB700703|162-1022|861|betalactams|Class_A_betalactamases|TEM	BAL68178.1 AB700703.1:162-1022
NCBI	Bla|TEM-198|AB700703|162-1022|861|betalactams|Class_A_betalactamases|TEM	gi|379056275|dbj|AB700703.1|162-1022
Resfinder	Bla|TEM-198|AB700703|162-1022|861|betalactams|Class_A_betalactamases|TEM	blaTEM-198_1_AB700703
NCBI	gi|393716100|dbj|AB733453.1|betalactams|Class_A_betalactamases|SHV	gi|393716100|dbj|AB733453.1|1-849
ARG-ANNOT	Bla|OXA-168|HM488989|1-822|822|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-168:HM488989:1-822:822
CARD	Bla|OXA-168|HM488989|1-822|822|betalactams|Class_D_betalactamases|OXA	@phgb|HM488989|0-822|ARO:3001468|OXA-168 [Acinetobacter baumannii]
Lahey	Bla|OXA-168|HM488989|1-822|822|betalactams|Class_D_betalactamases|OXA	ADK35872.1 HM488989.1:1-822
NCBI	Bla|OXA-168|HM488989|1-822|822|betalactams|Class_D_betalactamases|OXA	gi|300825675|gb|HM488989.1|1-822
Resfinder	Bla|OXA-168|HM488989|1-822|822|betalactams|Class_D_betalactamases|OXA	blaOXA-168_1_HM488989
ARG-ANNOT	Bla|CMY-14|EU600193|1702-2847|1146|betalactams|Class_C_betalactamases|CMY	(Bla)CMY-14:EU600193:1702-2847:1146
NCBI	Bla|CMY-14|EU600193|1702-2847|1146|betalactams|Class_C_betalactamases|CMY	gi|183238624|gb|EU600193.1|1702-2847
Resfinder	Bla|CMY-14|EU600193|1702-2847|1146|betalactams|Class_C_betalactamases|CMY	blaCMY-14_1_EU600193
NCBI	gi|375313996|gb|JN790864.1|betalactams|Class_A_betalactamases|CTX	gi|768457552|gb|KJ125070.2|25570-26763 gi|756420160|gb|KP198616.1|25558-26751 gi|449331660|gb|KC160505.1|534-1727 gi|375313996|gb|JN790864.1|1-1194
ARG-ANNOT	Gly|VanH-D|AY082011|4937-5908|972|Glycopeptides|VanD-type_resistance_protein|VANHD	(Gly)VanH-D:AY082011:4937-5908:972
CARD	Gly|VanH-D|AY082011|4937-5908|972|Glycopeptides|VanD-type_resistance_protein|VANHD	@phgb|AY082011|4936-5908|ARO:3002944|vanHD [Enterococcus faecium]
NCBI	Gly|VanH-D|AY082011|4937-5908|972|Glycopeptides|VanD-type_resistance_protein|VANHD	gi|27461214|gb|AY082011.1|4937-5908 gi|11527843|gb|AF277571.1|AF277571|298-1269 gi|54114872|dbj|AB183866.1|1-79
Resfinder	Gly|VanH-D|AY082011|4937-5908|972|Glycopeptides|VanD-type_resistance_protein|VANHD	VanH-D_3_AY082011
ARG-ANNOT	Bla|LEN-8|AJ635424|1-789|789|betalactams|Class_A_betalactamases|LEN	(Bla)LEN-8:AJ635424:1-789:789
CARD	Bla|LEN-8|AJ635424|1-789|789|betalactams|Class_A_betalactamases|LEN	@phgb|AJ635424|0-789|ARO:3002458|LEN-8 [Klebsiella pneumoniae]
NCBI	Bla|LEN-8|AJ635424|1-789|789|betalactams|Class_A_betalactamases|LEN	gi|46309223|emb|AJ635424.1|1-789
Resfinder	Bla|LEN-8|AJ635424|1-789|789|betalactams|Class_A_betalactamases|LEN	blaLEN8_1_AJ635424
ARG-ANNOT	Bla|SHV-167|AB733453|4-849|846|betalactams|Class_A_betalactamases|SHV	(Bla)SHV-167:AB733453:4-849:846
CARD	Bla|SHV-167|AB733453|4-849|846|betalactams|Class_A_betalactamases|SHV	@phgb|AB733453|3-849|ARO:3001204|SHV-167 [Klebsiella pneumoniae]
NCBI	Bla|SHV-167|AB733453|4-849|846|betalactams|Class_A_betalactamases|SHV	gi|393716100|dbj|AB733453.1|4-849
ARG-ANNOT	Flq|QnrB45|JQ349152|1-680|680|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	(Flq)QnrB45:JQ349152:1-680:680
CARD	Flq|QnrB45|JQ349152|1-680|680|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	@phgb|JQ349152|0-680|ARO:3002760|QnrB45 [Escherichia coli]
NCBI	Flq|QnrB45|JQ349152|1-680|680|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	gi|375332208|gb|JQ349152.1|1-680
Resfinder	Flq|QnrB45|JQ349152|1-680|680|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	QnrB45_1_JQ349152
ARG-ANNOT	Bla|OXA-34|AF350424|1-771|771|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-34:AF350424:1-771:771
CARD	Bla|OXA-34|AF350424|1-771|771|betalactams|Class_D_betalactamases|OXA	@phgb|AF350424|0-771|ARO:3001428|OXA-34 [Pseudomonas aeruginosa]
NCBI	Bla|OXA-34|AF350424|1-771|771|betalactams|Class_D_betalactamases|OXA	gi|13194855|gb|AF350424.1|AF350424|1-771
Resfinder	Bla|OXA-34|AF350424|1-771|771|betalactams|Class_D_betalactamases|OXA	blaOXA-34_1_AF350424
CARD	1021|AJ243209.1|AJ243209|MLS|Macrolide_resistance_efflux_pumps|MSRC	@phgb|AJ243209|0-405|ARO:3002819|msrC [Enterococcus faecium]
NCBI	1021|AJ243209.1|AJ243209|MLS|Macrolide_resistance_efflux_pumps|MSRC	gi|6687492|emb|AJ243209.1|1-405 gi|88770353|gb|DQ384855.1|1-386
CARD	AGly|AF043381.1|gene2|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	@phgb|AF043381|251-863|ARO:3002580|AAC(6')-Ib9 [Pseudomonas aeruginosa]
NCBI	AGly|AF043381.1|gene2|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	gi|4105085|gb|AF043381.1|AF043381|252-863 gi|496684371|gb|KC543497.1|457009-456430
CARD	Flq|QnrB61_1_AB734053|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	@phgb|AB734053|2303-2948|ARO:3002774|QnrB61 [Citrobacter braakii]
NCBI	Flq|QnrB61_1_AB734053|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	gi|469663603|dbj|AB734053.1|2304-2948
Resfinder	Flq|QnrB61_1_AB734053|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	QnrB61_1_AB734053
ARG-ANNOT	Flq|QepA|AB263754|7052-8587|1536|Fluoroquinolones|Quinolone_active_efflux|QEPA	(Flq)QepA:AB263754:7052-8587:1536
NCBI	Flq|QepA|AB263754|7052-8587|1536|Fluoroquinolones|Quinolone_active_efflux|QEPA	gi|531867533|gb|JX997935.2|7084-8619 gi|256532070|gb|FJ744121.1|8160-6625 gi|695213650|ref|NG_036638.1|9616-8081 gi|172051323|emb|AM886293.1|122224-120689 gi|695212717|ref|NG_036480.1|8587-7052 gi|695212383|ref|NG_036406.1|4980-3445 gi|157863070|gb|EU161943.1|395-1 gi|908210419|dbj|LC066224.1|365-1 gi|226295419|gb|FJ842530.1|1-216
NCBI	1654|AY920928.1|AY920928|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	gi|374282195|gb|JN596279.1|3804-4322 gi|208436671|gb|EU886978.1|86-604 gi|66269634|gb|AY920928.1|5101-5619
CARD	Bla|FJ666066.1|gene1|betalactams|Class_C_betalactamases|PDC	@phgb|FJ666066|0-1194|ARO:3002500|PDC-3 [Pseudomonas aeruginosa]
NCBI	Bla|FJ666066.1|gene1|betalactams|Class_C_betalactamases|PDC	gi|229597521|gb|FJ666066.1|1-1194
ARG-ANNOT	Flq|QnrB2|DQ351242|1-645|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	(Flq)QnrB2:DQ351242:1-645:645
NCBI	Flq|QnrB2|DQ351242|1-645|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	gi|908266278|gb|CP012170.1|128177-128821 gi|828945622|gb|CP011617.1|112880-113524 gi|828927436|gb|CP011596.1|111553-112197 gi|742988600|gb|CP010378.1|7614-8258 gi|704485899|gb|KJ186154.1|34228-33584 gi|686483893|gb|KM111268.1|3779-3135 gi|558708306|gb|HQ419285.1|10483-9839 gi|429201046|gb|JX193301.1|34756-34112 gi|402715290|gb|JX101693.1|64561-63917 gi|695215005|ref|NG_036923.1|10052-9408
Resfinder	Flq|QnrB2|DQ351242|1-645|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	QnrB2_1_HM125698
CARD	CARD|pvgb|CP003583|1050805-1052287|ARO:3003092|Enterococcus|Lipopeptides|Daptomycin-resistant_cls|CLS|RequiresSNPConfirmation	@pvgb|CP003583|1050805-1052287|ARO:3003092|Enterococcus faecium cls conferring resistance to daptomycin [Enterococcus faecium DO]
NCBI	CARD|pvgb|CP003583|1050805-1052287|ARO:3003092|Enterococcus|Lipopeptides|Daptomycin-resistant_cls|CLS|RequiresSNPConfirmation	gi|974999704|gb|CP013994.1|1693837-1692355 gi|529202214|gb|CP006620.1|1094114-1095596 gi|388532432|gb|CP003583.1|1050806-1052288 gi|378937014|gb|CP003351.1|1279909-1278427
ARG-ANNOT	Bla|CTX-M-131|JN969893|1-873|873|betalactams|Class_A_betalactamases|CTX	(Bla)CTX-M-131:JN969893:1-873:873
NCBI	Bla|CTX-M-131|JN969893|1-873|873|betalactams|Class_A_betalactamases|CTX	gi|823104948|gb|JN969893.3|2534-3406
Resfinder	Bla|CTX-M-131|JN969893|1-873|873|betalactams|Class_A_betalactamases|CTX	blaCTX-M-131_1_JN969893
ARG-ANNOT	Bla|OXY2-9|FJ785625|132-1001|870|betalactams|Class_A_betalactamases|OXY	(Bla)OXY2-9:FJ785625:132-1001:870
CARD	Bla|OXY2-9|FJ785625|132-1001|870|betalactams|Class_A_betalactamases|OXY	@phgb|FJ785625|131-1001|ARO:3002404|OXY-2-9 [Klebsiella oxytoca]
NCBI	Bla|OXY2-9|FJ785625|132-1001|870|betalactams|Class_A_betalactamases|OXY	gi|257136309|gb|FJ785625.1|132-1001
Resfinder	Bla|OXY2-9|FJ785625|132-1001|870|betalactams|Class_A_betalactamases|OXY	blaOXY-2-9_9_FJ785625
NCBI	gi|223006550|emb|AM941159.1|betalactams|Class_A_betalactamases|TEM	gi|223006550|emb|AM941159.1|1-1092
NCBI	gi|160948450|emb|AM176553.2|betalactams|Class_A_betalactamases|SHV	gi|160948450|emb|AM176553.2|1-891
NCBI	gi|22758830|gb|AY135661.1|betalactams|Class_B_betalactamases|VIM	gi|825088250|gb|KP975074.1|107551-106682 gi|825088250|gb|KP975074.1|106601-105768 gi|636528809|gb|KJ551510.1|1120-1989 gi|402694763|gb|JX275775.1|1316-2185 gi|695225810|ref|NG_041423.1|17-886 gi|346720643|gb|JF915437.1|18-887 gi|346720643|gb|JF915437.1|900-1057 gi|283580179|gb|GU250441.1|71-940 gi|283580179|gb|GU250441.1|953-1110 gi|283580176|gb|GU250440.1|50-919 gi|283580176|gb|GU250440.1|932-1089 gi|242322372|emb|FN397623.1|197-1066 gi|194032844|emb|FM179467.1|206-1075 gi|194032844|emb|FM179467.1|1088-1245 gi|695212620|ref|NG_036464.1|6565-7434
NCBI	Flq|B13_1_JN173050|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	gi|161579479|gb|EU273756.1|37-681 gi|161579477|gb|EU273755.1|37-681
Resfinder	Flq|B13_1_JN173050|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	QnrB13_1_JN173050
CARD	CARD|phgb|HE999704|947296-947620|ARO:3000026|mepA|Multi-drug_resistance|Multi-drug_efflux_pumps|MEPA	@phgb|HE999704|947296-947620|ARO:3000026|mepA [Listeria monocytogenes]
NCBI	CARD|phgb|HE999704|947296-947620|ARO:3000026|mepA|Multi-drug_resistance|Multi-drug_efflux_pumps|MEPA	gi|441472679|emb|HE999705.1|947036-947360 gi|441469547|emb|HE999704.1|947297-947621 gi|584269433|emb|HG813249.1|1296253-1296567 gi|345532625|gb|CP002001.1|1041040-1041354
ARG-ANNOT	gi|417350421|gb|JX896165.1|betalactams|Class_A_betalactamases|CTX	(Bla)CTX-M-134:JX896165:1-876:876
CARD	gi|417350421|gb|JX896165.1|betalactams|Class_A_betalactamases|CTX	@phgb|JX896165|0-876|ARO:3001992|CTX-M-134 [Escherichia coli]
Lahey	gi|417350421|gb|JX896165.1|betalactams|Class_A_betalactamases|CTX	AFX60298.1 JX896165.1:1-876
NCBI	gi|417350421|gb|JX896165.1|betalactams|Class_A_betalactamases|CTX	gi|668347707|dbj|AB976597.1|340-1215 gi|417350421|gb|JX896165.1|1-876
Resfinder	gi|417350421|gb|JX896165.1|betalactams|Class_A_betalactamases|CTX	blaCTX-M-134_1_JX896165
NCBI	Bla|CTX-M-17_2_AF454633|betalactams|Class_A_betalactamases|CTX	gi|695208600|ref|NG_035613.1|757-1632
Resfinder	Bla|CTX-M-17_2_AF454633|betalactams|Class_A_betalactamases|CTX	blaCTX-M-17_2_AF454633
ARG-ANNOT	Bla|TEM-90|AF351241|90-950|861|betalactams|Class_A_betalactamases|TEM	(Bla)TEM-90:AF351241:90-950:861
CARD	Bla|TEM-90|AF351241|90-950|861|betalactams|Class_A_betalactamases|TEM	@phgb|AF351241|89-950|ARO:3000957|TEM-90 [Escherichia coli]
Lahey	Bla|TEM-90|AF351241|90-950|861|betalactams|Class_A_betalactamases|TEM	AAK30619.1 AF351241.1:90-950
NCBI	Bla|TEM-90|AF351241|90-950|861|betalactams|Class_A_betalactamases|TEM	gi|695200318|ref|NG_035427.1|90-950
Resfinder	Bla|TEM-90|AF351241|90-950|861|betalactams|Class_A_betalactamases|TEM	blaTEM-90_1_AF351241
CARD	Bla|OXA-360_1_KF421163|betalactams|Class_D_betalactamases|OXA	@phgb|KF421163|0-831|ARO:3001547|OXA-360 [Acinetobacter schindleri]
Lahey	Bla|OXA-360_1_KF421163|betalactams|Class_D_betalactamases|OXA	AGZ83156.1 KF421163.1:1-831
NCBI	Bla|OXA-360_1_KF421163|betalactams|Class_D_betalactamases|OXA	gi|556904159|gb|KF421163.1|1-831
Resfinder	Bla|OXA-360_1_KF421163|betalactams|Class_D_betalactamases|OXA	blaOXA-360_1_KF421163
NCBI	MLS|AB000617.1|gene3|Multi-drug_resistance|MDR_regulator|tetR|RequiresSNPConfirmation	gi|983204966|gb|CP014166.1|290695-290129 gi|807072327|gb|CP011115.1|290696-290130 gi|749183975|gb|CP010314.1|290698-290132 gi|728887195|gb|CP010053.1|290708-290142 gi|728882887|gb|CP010052.1|290705-290139 gi|724425628|emb|LN680001.1|290684-290118 gi|723796434|emb|LN649259.1|290684-290118 gi|649013680|gb|CP008698.1|290706-290140 gi|649009321|gb|CP007800.1|290706-290140 gi|558566549|gb|CP006881.1|290703-290137
NCBI	Bla|cphA1_1_AY261379|betalactams|Class_B_betalactamases|CPHA	gi|33150469|gb|AY261379.1|1-765
Resfinder	Bla|cphA1_1_AY261379|betalactams|Class_B_betalactamases|CPHA	cphA1_1_AY261379
ARG-ANNOT	Bla|MIR-1|M37839|928-2073|1146|betalactams|Class_C_betalactamases|MIR	(Bla)MIR-1:M37839:928-2073:1146
CARD	Bla|MIR-1|M37839|928-2073|1146|betalactams|Class_C_betalactamases|MIR	@phgb|M37839|927-2073|ARO:3002166|MIR-1 [Klebsiella pneumoniae]
Lahey	Bla|MIR-1|M37839|928-2073|1146|betalactams|Class_C_betalactamases|MIR	AAD22636.1 M37839.2:928-2073
NCBI	Bla|MIR-1|M37839|928-2073|1146|betalactams|Class_C_betalactamases|MIR	gi|695199008|ref|NG_035142.1|928-2073
Resfinder	Bla|MIR-1|M37839|928-2073|1146|betalactams|Class_C_betalactamases|MIR	blaMIR-1_1_M37839
ARG-ANNOT	AGly|AadA3|AF047479|1296-2087|792|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	(AGly)AadA3:AF047479:1296-2087:792
CARD	AGly|AadA3|AF047479|1296-2087|792|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	@phgb|AF047479|1295-2087|ARO:3002603|aadA3 [Plasmid NR79]
NCBI	AGly|AadA3|AF047479|1296-2087|792|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	gi|213958578|gb|AF047479.2|1296-2087
Resfinder	AGly|AadA3|AF047479|1296-2087|792|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	aadA3_1_AF047479
ARG-ANNOT	Tmt|DfrA15b|AJ867237|117-650|474|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation	(Tmt)DfrA15b:AJ867237:177-650:474
NCBI	Tmt|DfrA15b|AJ867237|117-650|474|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation	gi|56542059|emb|AJ867237.1|177-650
Resfinder	Tmt|DfrA15b|AJ867237|117-650|474|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation	dfrA15b_1_AJ867237
ARG-ANNOT	Tet|TetA|JX424423|94438-95712|1275|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA	(Tet)TetA:JX424423:94438-95712:1275
NCBI	Tet|TetA|JX424423|94438-95712|1275|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA	gi|970698093|gb|KT988018.1|14675-15949 gi|974751143|gb|KU238092.1|6854-5580 gi|975048878|gb|CP013962.1|2246471-2247745 gi|973710347|gb|CP013833.1|73871-75145 gi|966626646|gb|CP013657.1|127373-126099 gi|959153704|gb|CP012993.1|50421-49147 gi|959147947|gb|CP012988.1|42798-44072 gi|952556149|emb|LN879484.1|75479-74205 gi|944397480|gb|CP013024.1|62940-64214 gi|933686806|gb|KT779550.1|83505-84779
ARG-ANNOT	417|HQ541434.2|HQ541434|betalactams|Class_A_betalactamases|PME	(Bla)PME-1:HQ541434:3071-4000:930
NCBI	417|HQ541434.2|HQ541434|betalactams|Class_A_betalactamases|PME	gi|323721334|gb|HQ541434.2|3071-4000 gi|969535508|gb|KT364224.1|1000-1085
Resfinder	417|HQ541434.2|HQ541434|betalactams|Class_A_betalactamases|PME	blaPME-1_1_HQ541434
CARD	CARD|phgb|AP009048|4304505-4306557|ARO:3003549|mdtO|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTO	@phgb|AP009048|4304505-4306557|ARO:3003549|mdtO [Escherichia coli str. K-12 substr. W3110];@phgb|NC_007779|4304505-4306557|ARO:3003549|mdtO [Escherichia coli str. K-12 substr. W3110];@phgb|U00096|4301026-4303078|ARO:3003549|mdtO [Escherichia coli str. K-12 substr. MG1655]
NCBI	CARD|phgb|AP009048|4304505-4306557|ARO:3003549|mdtO|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTO	gi|985000614|gb|CP014225.1|2498116-2500167 gi|939732440|gb|CP011343.2|4281331-4283382 gi|939731527|gb|CP011342.2|4282017-4284068 gi|937526251|gb|CP012870.1|340626-338575 gi|937521852|gb|CP012869.1|340626-338575 gi|937517453|gb|CP012868.1|340626-338575 gi|932857508|emb|LN877770.1|101786-103837 gi|923416119|gb|CP011113.1|4259092-4261143 gi|857137982|gb|CP011495.1|878457-880508 gi|817589947|gb|CP011324.1|4264676-4266727
NCBI	ACou|NC_002951.3236245|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	gi|610395799|gb|CP007539.1|1408359-1410356 gi|57284222|gb|CP000046.1|1395973-1397970
ARG-ANNOT	Bla|CMY-47|HM046998|1040-2185|1146|betalactams|Class_C_betalactamases|CMY	(Bla)CMY-47:HM046998:1040-2185:1146
CARD	Bla|CMY-47|HM046998|1040-2185|1146|betalactams|Class_C_betalactamases|CMY	@phgb|HM046998|1039-2185|ARO:3002058|CMY-47 [Citrobacter freundii]
Lahey	Bla|CMY-47|HM046998|1040-2185|1146|betalactams|Class_C_betalactamases|CMY	ADH82410.1 HM046998.2:1040-2185
NCBI	Bla|CMY-47|HM046998|1040-2185|1146|betalactams|Class_C_betalactamases|CMY	gi|347364914|gb|HM046998.2|1040-2185
